Age,Income,Spending_Score
39.96714153,63892.66321,77.98710873
33.61735699,78641.24961,68.49267366
41.47688538,29021.48639,51.1926074
50.23029856,58444.53855,37.06126445
32.65846625,40240.36146,63.96446627
32.65863043,42693.11924,57.86970771
50.79212816,41114.09114,67.9038644
42.67434729,37040.13845,62.70343603
30.30525614,50727.82442,70.99105431
40.42560044,37535.74825,39.29529577
30.36582307,54056.85239,76.34788131
30.34270246,49246.42836,53.95199209
37.41962272,46415.7793,91.50521745
15.86719755,36386.54507,36.21624364
17.75082167,41348.43004,84.71927606
29.37712471,61330.86839,53.95821567
24.8716888,57513.75781,36.97163993
38.14247333,35336.67133,40.32228332
25.91975924,51489.98458,43.59305384
20.87696299,61270.80685,58.48331893
49.65648769,24958.92078,60.45670976
32.742237,58150.40289,38.52599992
35.67528205,40060.64362,49.51290815
20.75251814,58558.98003,92.84540717
29.55617275,38551.11265,84.5508634
36.1092259,22926.76849,58.72647339
23.49006423,25586.86343,50.76006956
38.75698018,50721.2742,52.40062653
28.9936131,53895.83753,62.27035945
32.0830625,36435.25062,29.5441487
28.98293388,59578.88688,44.85246925
53.52278185,25077.19907,16.62831852
34.86502775,49008.80302,57.98446245
24.42289071,31834.757,62.94391879
43.22544912,40222.45838,40.33627075
22.7915635,50710.98007,81.47973527
37.08863595,37093.79952,25.48468674
15.40329876,44231.66684,20.7125024
21.71813951,65094.39214,54.48903637
36.96861236,41346.62196,70.94196605
42.3846658,62535.38168,83.67855383
36.71368281,33054.39718,40.82231474
33.84351718,57947.06267,71.57361667
31.98896304,71623.52931,49.22983061
20.2147801,12925.3325,46.547454
27.80155792,38046.57117,67.67319875
30.39361229,58656.08191,63.04645757
45.57122226,46954.31921,18.47215686
38.4361829,55567.1881,79.53080699
17.36959845,40940.2222,77.60182708
38.24083969,51298.84681,37.48874597
31.1491772,47664.84147,57.91607067
28.23078,67516.73092,59.88060373
41.11676289,53816.31265,55.21347532
45.30999522,55064.03993,38.99389692
44.31280119,43821.84551,36.56753264
26.60782477,42685.90664,49.48891858
31.90787624,43511.62718,73.45458039
38.31263431,55916.78214,60.87200309
44.75545127,43685.23279,42.58771336
30.20825762,54346.62285,65.43397421
33.14341023,81131.01198,-6.970852413
23.93665026,63066.87055,72.97531401
23.03793376,45109.64702,15.20572442
43.12525822,68018.20883,42.75118117
48.56240029,43878.8694,27.60660211
34.27989878,19428.13197,24.10637049
45.03532898,34878.70534,73.21653575
38.61636025,21938.12118,40.64597597
28.54880245,44727.29774,56.93007763
